hotel_id,city,distance,stars,rating,country,city_actual,rating_reviewcount,center1label,center2label,neighbourhood,ratingta,ratingta_count,distance_alter,accommodation_type,price,offer,offer_cat,year,month,weekend,holiday,nnights,scarce_room
15165.0,Rome,2.3,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,,,2.0,Apartment,2433,0,0% no offer,2017,12,0,1,4,1
15166.0,Rome,3.2,4.0,3.5,Italy,Rome,19.0,City centre,Palazzo Madama,Aurelio,3.5,300.0,2.9,Hotel,119,1,1-15% offer,2018,6,1,0,1,0
15166.0,Rome,3.2,4.0,3.5,Italy,Rome,19.0,City centre,Palazzo Madama,Aurelio,3.5,300.0,2.9,Hotel,128,0,0% no offer,2018,5,1,0,1,0
15166.0,Rome,3.2,4.0,3.5,Italy,Rome,19.0,City centre,Palazzo Madama,Aurelio,3.5,300.0,2.9,Hotel,385,1,15-50% offer,2017,12,0,1,4,0
15166.0,Rome,3.2,4.0,3.5,Italy,Rome,19.0,City centre,Palazzo Madama,Aurelio,3.5,300.0,2.9,Hotel,119,1,1-15% offer,2018,3,1,0,1,0
15167.0,Rome,3.2,4.0,3.5,Italy,Rome,19.0,City centre,Grotta del Bue Marino,Aurelio,3.5,300.0,4.2,Hotel,69,1,15-50% offer,2018,2,1,0,1,0
15167.0,Rome,3.2,4.0,3.5,Italy,Rome,19.0,City centre,Grotta del Bue Marino,Aurelio,3.5,300.0,4.2,Hotel,119,1,1-15% offer,2018,4,1,0,1,0
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,90,0,0% no offer,2018,3,1,0,1,1
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,90,0,0% no offer,2018,6,1,0,1,1
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,90,0,0% no offer,2018,4,1,0,1,1
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,90,0,0% no offer,2018,2,1,0,1,1
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,92,0,0% no offer,2017,12,0,1,1,1
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,90,0,0% no offer,2018,5,1,0,1,1
15168.0,Rome,2.6,,,Italy,Rome,,City centre,Palazzo Madama,Aurelio,5.0,16.0,2.3,Bed and breakfast,90,0,0% no offer,2017,11,0,0,1,1
15169.0,Rome,2.6,,,Italy,Rome,,City centre,Grotta del Bue Marino,Aurelio,5.0,16.0,3.6,Bed and breakfast,349,0,0% no offer,2017,12,0,1,4,1
15170.0,Rome,2.6,,4.3,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.0,9.0,2.4,Guest House,64,0,0% no offer,2018,4,1,0,1,1
15170.0,Rome,2.6,,4.3,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.0,9.0,2.4,Guest House,67,0,0% no offer,2018,2,1,0,1,1
15170.0,Rome,2.6,,4.3,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.0,9.0,2.4,Guest House,64,0,0% no offer,2018,6,1,0,1,1
15170.0,Rome,2.6,,4.3,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.0,9.0,2.4,Guest House,67,0,0% no offer,2018,3,1,0,1,1
15170.0,Rome,2.6,,4.3,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.0,9.0,2.4,Guest House,64,0,0% no offer,2018,5,1,0,1,1
15170.0,Rome,2.6,,4.3,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.0,9.0,2.4,Guest House,53,1,15-50% offer,2017,11,0,0,1,1
15171.0,Rome,2.6,,4.3,Italy,Rome,38.0,City centre,Palazzo Madama,Aurelio,4.5,53.0,2.3,Bed and breakfast,327,0,0% no offer,2017,12,0,1,4,1
15172.0,Rome,2.6,,4.3,Italy,Rome,38.0,City centre,Grotta del Bue Marino,Aurelio,4.5,53.0,3.6,Bed and breakfast,90,0,0% no offer,2018,3,1,0,1,1
15173.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Palazzo Madama,Aurelio,5.0,4.0,1.9,Bed and breakfast,87,1,15-50% offer,2017,11,0,0,1,1
15173.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Palazzo Madama,Aurelio,5.0,4.0,1.9,Bed and breakfast,87,1,15-50% offer,2018,2,1,0,1,1
15173.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Palazzo Madama,Aurelio,5.0,4.0,1.9,Bed and breakfast,87,1,15-50% offer,2018,3,1,0,1,1
15173.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Palazzo Madama,Aurelio,5.0,4.0,1.9,Bed and breakfast,87,1,15-50% offer,2018,4,1,0,1,1
15174.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Grotta del Bue Marino,Aurelio,5.0,4.0,3.2,Bed and breakfast,340,1,15-50% offer,2017,12,0,1,4,1
15174.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Grotta del Bue Marino,Aurelio,5.0,4.0,3.2,Bed and breakfast,87,1,15-50% offer,2018,6,1,0,1,1
15174.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Grotta del Bue Marino,Aurelio,5.0,4.0,3.2,Bed and breakfast,90,1,15-50% offer,2017,12,0,1,1,1
15174.0,Rome,2.2,,4.0,Italy,Rome,4.0,City centre,Grotta del Bue Marino,Aurelio,5.0,4.0,3.2,Bed and breakfast,87,1,15-50% offer,2018,5,1,0,1,1
15175.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Palazzo Madama,Aurelio,4.5,255.0,1.9,Bed and breakfast,79,1,15-50% offer,2018,3,1,0,1,0
15175.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Palazzo Madama,Aurelio,4.5,255.0,1.9,Bed and breakfast,59,1,15-50% offer,2018,2,1,0,1,0
15175.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Palazzo Madama,Aurelio,4.5,255.0,1.9,Bed and breakfast,268,1,15-50% offer,2017,12,0,1,4,0
15175.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Palazzo Madama,Aurelio,4.5,255.0,1.9,Bed and breakfast,111,1,15-50% offer,2018,4,1,0,1,0
15176.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Grotta del Bue Marino,Aurelio,4.5,255.0,3.2,Bed and breakfast,86,1,15-50% offer,2018,6,1,0,1,0
15176.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Grotta del Bue Marino,Aurelio,4.5,255.0,3.2,Bed and breakfast,117,1,15-50% offer,2018,5,1,0,1,0
15176.0,Rome,2.2,,4.5,Italy,Rome,192.0,City centre,Grotta del Bue Marino,Aurelio,4.5,255.0,3.2,Bed and breakfast,39,1,15-50% offer,2017,11,0,0,1,0
15177.0,Rome,3.0,4.0,3.7,Italy,Rome,15.0,City centre,Palazzo Madama,Aurelio,3.0,459.0,2.8,Vacation home Condo,81,0,0% no offer,2018,4,1,0,1,1
15177.0,Rome,3.0,4.0,3.7,Italy,Rome,15.0,City centre,Palazzo Madama,Aurelio,3.0,459.0,2.8,Vacation home Condo,60,0,0% no offer,2017,11,0,0,1,0
15178.0,Rome,3.0,4.0,3.7,Italy,Rome,15.0,City centre,Grotta del Bue Marino,Aurelio,3.0,459.0,4.1,Vacation home Condo,235,0,0% no offer,2017,12,0,1,4,1
15179.0,Rome,2.4,,3.0,Italy,Rome,1.0,City centre,Palazzo Madama,Aurelio,4.5,45.0,2.1,Bed and breakfast,291,1,1-15% offer,2017,12,0,1,4,1
15179.0,Rome,2.4,,3.0,Italy,Rome,1.0,City centre,Palazzo Madama,Aurelio,4.5,45.0,2.1,Bed and breakfast,66,0,0% no offer,2017,11,0,0,1,1
15180.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.5,24.0,1.8,Guest House,90,1,15-50% offer,2018,4,1,0,1,1
15180.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.5,24.0,1.8,Guest House,45,1,50%-75% offer,2018,2,1,0,1,1
15180.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.5,24.0,1.8,Guest House,50,1,50%-75% offer,2017,11,0,0,1,1
15180.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.5,24.0,1.8,Guest House,90,1,15-50% offer,2018,5,1,0,1,1
15180.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Palazzo Madama,Aurelio,4.5,24.0,1.8,Guest House,90,1,15-50% offer,2018,6,1,0,1,1
15181.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Grotta del Bue Marino,Aurelio,4.5,24.0,3.1,Guest House,95,1,15-50% offer,2018,3,1,0,1,1
15181.0,Rome,2.1,,3.0,Italy,Rome,6.0,City centre,Grotta del Bue Marino,Aurelio,4.5,24.0,3.1,Guest House,458,0,0% no offer,2017,12,0,1,4,1
15182.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Palazzo Madama,Aurelio,4.5,101.0,1.9,Guest House,70,0,0% no offer,2018,3,1,0,1,1
15182.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Palazzo Madama,Aurelio,4.5,101.0,1.9,Guest House,70,0,0% no offer,2018,5,1,0,1,1
15182.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Palazzo Madama,Aurelio,4.5,101.0,1.9,Guest House,335,0,0% no offer,2017,12,0,1,4,1
15182.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Palazzo Madama,Aurelio,4.5,101.0,1.9,Guest House,65,0,0% no offer,2017,11,0,0,1,1
15183.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Grotta del Bue Marino,Aurelio,4.5,101.0,3.2,Guest House,70,0,0% no offer,2018,6,1,0,1,1
15183.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Grotta del Bue Marino,Aurelio,4.5,101.0,3.2,Guest House,70,0,0% no offer,2018,4,1,0,1,1
15183.0,Rome,2.2,,4.4,Italy,Rome,14.0,City centre,Grotta del Bue Marino,Aurelio,4.5,101.0,3.2,Guest House,57,1,1-15% offer,2018,2,1,0,1,1
15184.0,Rome,2.7,4.0,3.9,Italy,Rome,97.0,City centre,Palazzo Madama,Aurelio,3.5,732.0,2.5,Hotel,131,1,1-15% offer,2018,3,1,0,1,1
15184.0,Rome,2.7,4.0,3.9,Italy,Rome,97.0,City centre,Palazzo Madama,Aurelio,3.5,732.0,2.5,Hotel,134,0,0% no offer,2018,4,1,0,1,0
15184.0,Rome,2.7,4.0,3.9,Italy,Rome,97.0,City centre,Palazzo Madama,Aurelio,3.5,732.0,2.5,Hotel,334,1,15-50% offer,2017,12,0,1,4,1
15184.0,Rome,2.7,4.0,3.9,Italy,Rome,97.0,City centre,Palazzo Madama,Aurelio,3.5,732.0,2.5,Hotel,111,1,15-50% offer,2018,5,1,0,1,0
15185.0,Rome,2.7,4.0,3.9,Italy,Rome,97.0,City centre,Grotta del Bue Marino,Aurelio,3.5,732.0,3.8,Hotel,68,1,50%-75% offer,2017,12,0,1,1,0
